Platz;Mannschaft;Sp.;S;U;N;Tore;Diff.;Pkt.;BallkontakteSpiel;Ecken;Torschüsse;QuoteTore;Freistösse;Abseits;Passquote;FairplayKarten;FoulsSpiel
1,00;Bayern München;15,00;10,00;4,00;1,00;49,00;36,00;34,00;786,27;99,00;316,00;15,50;168,00;42,00;88,27;22,00;8,33
2,00;SC Freiburg;15,00;9,00;3,00;3,00;25,00;8,00;30,00;572,00;69,00;201,00;12,40;182,00;21,00;80,67;24,00;11,73
3,00;RB Leipzig;15,00;8,00;4,00;3,00;30,00;9,00;28,00;704,20;82,00;221,00;13,60;189,00;27,00;85,57;30,00;10,47
4,00;Eintracht Frankfurt;15,00;8,00;3,00;4,00;32,00;8,00;27,00;634,60;74,00;198,00;16,20;185,00;39,00;81,21;24,00;11,87
5,00;1. FC Union Berlin;15,00;8,00;3,00;4,00;24,00;4,00;27,00;526,20;71,00;170,00;14,10;142,00;26,00;77,50;31,00;13,27
6,00;Borussia Dortmund;15,00;8,00;1,00;6,00;25,00;4,00;25,00;696,87;100,00;217,00;11,50;216,00;25,00;84,48;35,00;9,60
7,00;VfL Wolfsburg;15,00;6,00;5,00;4,00;24,00;4,00;23,00;573,60;74,00;175,00;13,70;241,00;22,00;80,55;32,00;10,20
8,00;Bor. Mönchengladbach;15,00;6,00;4,00;5,00;28,00;4,00;22,00;650,20;70,00;178,00;15,70;226,00;34,00;83,65;32,00;9,20
9,00;Werder Bremen;15,00;6,00;3,00;6,00;25,00;-2,00;21,00;614,00;52,00;169,00;14,80;200,00;28,00;80,14;35,00;10,93
10,00;1. FSV Mainz 05;15,00;5,00;4,00;6,00;19,00;-5,00;19,00;554,40;74,00;201,00;9,50;156,00;32,00;76,42;36,00;12,73
11,00;1899 Hoffenheim;15,00;5,00;3,00;7,00;22,00;0,00;18,00;601,07;77,00;206,00;10,70;175,00;37,00;81,97;40,00;12,80
12,00;Bayer Leverkusen;15,00;5,00;3,00;7,00;25,00;-1,00;18,00;643,00;57,00;174,00;14,40;198,00;21,00;84,00;41,00;9,93
13,00;1. FC Köln;15,00;4,00;5,00;6,00;21,00;-8,00;17,00;600,20;89,00;187,00;11,20;181,00;33,00;80,39;35,00;11,73
14,00;FC Augsburg;15,00;4,00;3,00;8,00;18,00;-8,00;15,00;482,53;67,00;159,00;11,30;187,00;27,00;68,55;51,00;12,47
15,00;Hertha BSC;15,00;3,00;5,00;7,00;19,00;-3,00;14,00;517,93;63,00;182,00;10,40;211,00;27,00;77,32;41,00;11,53
16,00;VfB Stuttgart;15,00;3,00;5,00;7,00;18,00;-9,00;14,00;587,47;66,00;209,00;8,60;174,00;23,00;81,42;48,00;9,87
17,00;VfL Bochum;15,00;4,00;1,00;10,00;14,00;-22,00;13,00;523,93;66,00;169,00;8,30;152,00;34,00;74,05;24,00;12,13
18,00;FC Schalke 04;15,00;2,00;3,00;10,00;13,00;-19,00;9,00;504,40;60,00;168,00;7,70;160,00;34,00;74,99;34,00;11,87
